ObjectID(574f31e82b41393c79bd4e69),"Андерсон"
ObjectID(574f31e82b41393c79bd4e6a),"Рецептор"
ObjectID(574f31e82b41393c79bd4e6b),"Dada"
ObjectID(574f31e82b41393c79bd4e6c),"Столовая №57"
ObjectID(574f31e82b41393c79bd4e6d),"Casa di famiglia"
ObjectID(574f31e82b41393c79bd4e6e),"Gayane's"
ObjectID(574f31e82b41393c79bd4e6f),"Semplice"
ObjectID(574f31e92b41393c79bd4e70),"Da Pino"
ObjectID(574f31e92b41393c79bd4e71),"The 21"
ObjectID(574f31e92b41393c79bd4e72),"Одесса-мама"
ObjectID(574f31ec2b41393c79bd4e73),"Шерлок"
ObjectID(574f31ec2b41393c79bd4e74),"Shishas Happy Bar"
ObjectID(574f31ec2b41393c79bd4e75),"Elements by Edward Kwon"
ObjectID(574f31ec2b41393c79bd4e76),"Mizandari"
ObjectID(574f31ec2b41393c79bd4e77),"Долма"
ObjectID(574f31ed2b41393c79bd4e78),"Fresh"
ObjectID(574f31ed2b41393c79bd4e79),"Moments"
ObjectID(574f31ed2b41393c79bd4e7a),"Sky Lounge"
ObjectID(574f31ed2b41393c79bd4e7b),"Кимчи"
ObjectID(574f31ed2b41393c79bd4e7c),"White Rabbit"
ObjectID(574f31ed2b41393c79bd4e7d),"Уголек"
ObjectID(574f31ed2b41393c79bd4e7e),"Luciano"
ObjectID(574f31ed2b41393c79bd4e7f),"Никуда не едем"
ObjectID(574f31ed2b41393c79bd4e80),"Shishas Sferum Bar"
ObjectID(574f31ed2b41393c79bd4e81),"Osteria della Piazza Bianca"
ObjectID(574f31ee2b41393c79bd4e82),"Фарш"
ObjectID(574f31ee2b41393c79bd4e83),"Белый журавль"
ObjectID(574f31ee2b41393c79bd4e84),"Николай"
ObjectID(574f31ee2b41393c79bd4e85),"Pivbar"
ObjectID(574f31ee2b41393c79bd4e86),"Каре"
ObjectID(574f31ee2b41393c79bd4e87),"Goodman"
ObjectID(574f31ee2b41393c79bd4e88),"Хачапури"
ObjectID(574f31ee2b41393c79bd4e89),"Haggis Pub & Kitchen"
ObjectID(574f31ee2b41393c79bd4e8a),"True Burgers"
ObjectID(574f31ee2b41393c79bd4e8b),"Второе дыхание"
ObjectID(574f31f12b41393c79bd4e8c),"Новорижская застава"
ObjectID(574f31f12b41393c79bd4e8d),"Шанти"
ObjectID(574f31f12b41393c79bd4e8e),"Воккер"
ObjectID(574f31f22b41393c79bd4e8f),"Laffa Laffa"
ObjectID(574f31f22b41393c79bd4e90),"Пипл & Паста"
ObjectID(574f31f22b41393c79bd4e91),"Delicatessen"
ObjectID(574f31f22b41393c79bd4e92),"Upside Down Cake Co. на Грузинской"
ObjectID(574f31f22b41393c79bd4e93),"Modus Café"
ObjectID(574f31f22b41393c79bd4e94),"Ecle"
ObjectID(574f31f22b41393c79bd4e95),"Hophead Craft Beer Pub "
ObjectID(574f31f22b41393c79bd4e96),"Dizengof 99"
ObjectID(574f31f22b41393c79bd4e97),"Michel"
ObjectID(574f31f22b41393c79bd4e98),"Wok Street Café"
ObjectID(574f31f22b41393c79bd4e99),"Zu Café"
ObjectID(574f31f22b41393c79bd4e9a),"Булошная"
ObjectID(574f31f32b41393c79bd4e9b),"Апрель"
ObjectID(574f31f32b41393c79bd4e9c),"Spettacolo"
ObjectID(574f31f32b41393c79bd4e9d),"Martinez"
ObjectID(574f31f32b41393c79bd4e9e),"Марукамэ"
ObjectID(574f31f32b41393c79bd4e9f),"Calicano"
ObjectID(574f31f32b41393c79bd4ea0),"Boston Seafood & Bar"
ObjectID(574f31f32b41393c79bd4ea1),"Ян Примус"
ObjectID(574f31f32b41393c79bd4ea2),"Ти-бон"
ObjectID(574f31f32b41393c79bd4ea3),"Рамен-клаб"
ObjectID(574f31f32b41393c79bd4ea4),"Torro Grill"
ObjectID(574f31f62b41393c79bd4ea5),"Русское подворье"
ObjectID(574f31f62b41393c79bd4ea6),"Grand Cru"
ObjectID(574f31f62b41393c79bd4ea7),"Маяк"
ObjectID(574f31f62b41393c79bd4ea8),"Кабинет"
ObjectID(574f31f72b41393c79bd4ea9),"Bar Cervetti"
ObjectID(574f31f72b41393c79bd4eab),"Будвар"
ObjectID(574f31f72b41393c79bd4eac),"Эларджи"
ObjectID(574f31f72b41393c79bd4ead),"Луч"
ObjectID(574f31f72b41393c79bd4eae),"Black Thai"
ObjectID(574f31f72b41393c79bd4eaf),"Кувшин"
ObjectID(574f31f72b41393c79bd4eb0),"Нияма"
ObjectID(574f31f72b41393c79bd4eb1),"1516"
ObjectID(574f31f72b41393c79bd4eb2),"Nem's"
ObjectID(574f31f82b41393c79bd4eb3),"Bobby Dazzler"
ObjectID(574f31f82b41393c79bd4eb4),"Bruce Lee"
ObjectID(574f31f82b41393c79bd4eb5),"У Джузеппе"
ObjectID(574f31f82b41393c79bd4eb6),"La provincia"
ObjectID(574f31f82b41393c79bd4eb7),"Fruits & Veges"
ObjectID(574f31f82b41393c79bd4eb8),"Донна Маргарита"
ObjectID(574f31f82b41393c79bd4eb9),"Лига пап"
ObjectID(574f31f82b41393c79bd4eba),"BB & Burgers"
ObjectID(574f31f82b41393c79bd4ebb),"Мадам Галифе"
ObjectID(574f31f82b41393c79bd4ebc),"Конор Мак Несса"
ObjectID(574f31f92b41393c79bd4ebd),"Джон Донн"
ObjectID(574f31fc2b41393c79bd4ebe),"Torro Grill"
ObjectID(574f31fc2b41393c79bd4ec0),"Lucky Souvlaki"
ObjectID(574f31fc2b41393c79bd4ec1),"Сосна и липа"
ObjectID(574f31fc2b41393c79bd4ec2),"Хлебная лавка"
ObjectID(574f31fd2b41393c79bd4ec3),"Тайский слон"
ObjectID(574f31fd2b41393c79bd4ec4),"Прожектор"
ObjectID(574f31fd2b41393c79bd4ec5),"Руккола"
ObjectID(574f31fd2b41393c79bd4ec6),"Сыроварня"
ObjectID(574f31fd2b41393c79bd4ec7),"Тануки"
ObjectID(574f31fd2b41393c79bd4ec8),"Илларион"
ObjectID(574f31fd2b41393c79bd4ec9),"Воронеж"
ObjectID(574f31fd2b41393c79bd4eca),"BB Grill"
ObjectID(574f31fd2b41393c79bd4ecb),"Паста и баста"
ObjectID(574f31fd2b41393c79bd4ecc),"Андерсон"
ObjectID(574f31fe2b41393c79bd4ecd),"Лерой"
ObjectID(574f31fe2b41393c79bd4ed0),"Квартира №15"
ObjectID(574f31fe2b41393c79bd4ed1),"Веранда в парке"
ObjectID(574f31fe2b41393c79bd4ed2),"Шатили"
ObjectID(574f31fe2b41393c79bd4ed3),"Mix точка"
ObjectID(574f31ff2b41393c79bd4ed4),"One Teaspoon Café"
ObjectID(574f31ff2b41393c79bd4ed5),"Garden"
ObjectID(574f31ff2b41393c79bd4ed6),"Марио"
